MAGEPHONE	-	0	
MAGES	S	2	
MAGESPECIFIC	-	0	
MAGGIE	PN	3	
MAGGIEANDJIGGS	PHM	1	
MAGGIEMAY	PN	1	
MAGGIENELSON	PN	1	
MAGGIEQ	PN	1	
MAGGIEROGERWILL	PHM	0	
MAGGIES	PS	2	
MAGGIESIFF	PN	1	
MAGGIESIMPSON	PN	2	
MAGGIESMITH	PN	1	
MAGGIESMYTH	PN	1	
MAGGIETHECAT	PHM	2	
MAGGOT	-	2	
MAGGOTS	S	2	
MAGHREB	PL	1	
MAGI	PS	2	
MAGIAN	P	1	
MAGIC	-	4	
MAGICA	P	0	
MAGICACT	H	1	
MAGICACTS	HS	1	
MAGICAL	-	4	
MAGICALMUSHROOM	H	0	
MAGICALREALISM	HM	1	
MAGICALTHINKING	H	0	
MAGICANDCHEESE	H	0	
MAGICBALLET	HM	2	
MAGICBEAN	H	2	
MAGICBEANS	HS	2	
MAGICBULLET	H	3	
MAGICBULLETIN	H	0	
MAGICCARP	H	1	
MAGICCARPET	H	3	
MAGICCARPETREID	H	0	
MAGICCARPETRIDE	H	2	
MAGICCARPRIDE	H	0	
MAGICCARRIDE	H	0	
MAGICCASTLE	HM	2	
MAGICCHARM	H	1	
MAGICCHARMS	HS	1	
MAGICCHART	H	0	
MAGICCHIEF	H	0	
MAGICCIRCLE	H	1	
MAGICCLIPPERS	HM	1	
MAGICDRAG	H	0	
MAGICDRAGON	HM	1	
MAGICEIGHTBALL	HM	2	
MAGICEYE	H	1	
MAGICFINNCANAPE	H	0	
MAGICFLUKE	H	0	
MAGICFLUTE	HM	1	
MAGICHAND	H	1	
MAGICHAT	H	1	
MAGICHOUR	H	2	
MAGICIAN	-	4	
MAGICIANS	S	4	
MAGICIANSTRICKS	H	1	
MAGICJOHNS	PS	2	
MAGICJOHNSON	PN	3	
MAGICK	W	1	
MAGICKINGDOM	HM	1	
MAGICKRAKEN	H	0	
MAGICLAMP	HM	1	
MAGICLAMPS	HMS	1	
MAGICLANTERN	HM	2	
MAGICLESSONS	H	1	
MAGICLOOT	H	0	
MAGICMAN	H	2	
MAGICMARKER	HB	3	
MAGICMARKERS	HBS	2	
MAGICMARKETER	H	0	
MAGICMARKKA	H	0	
MAGICMIKE	HPN	3	
MAGICMIKEXXL	H	1	
MAGICMINT	H	1	
MAGICMOUNTAIN	HM	2	
MAGICMUSHROOM	HM	2	
MAGICMUSHROOMS	HMS	1	
MAGICO	P	0	
MAGICOBALL	H	0	
MAGICPATRICK	H	0	
MAGICPETRIDE	H	0	
MAGICPOWDERHOLE	H	0	
MAGICPULLET	H	0	
MAGICREALISM	HM	1	
MAGICS	S	2	
MAGICSET	H	1	
MAGICSHOP	H	1	
MAGICSHOPS	HS	1	
MAGICSHOW	H	2	
MAGICSPELL	H	1	
MAGICSPURSBULLS	H	0	
MAGICSQUARE	H	2	
MAGICTALISMAN	H	1	
MAGICTOUCH	H	1	
MAGICTREAT	H	1	
MAGICTRICK	H	2	
MAGICTRICKLE	H	0	
MAGICTRICKS	HS	2	
MAGICWAND	H	2	
MAGICWANDER	H	0	
MAGICWANDERER	H	0	
MAGICWANDS	HS	2	
MAGICWANTAD	H	0	
MAGICWDNA	H	0	
MAGICWHEELS	HM	1	
MAGICWORD	H	2	
MAGICWORDS	HS	2	
MAGIK	GW	1	
MAGILLA	PN	2	
MAGILLAGORILLA	PHM	2	
MAGIMOMENT	H	0	
MAGINOT	PL	2	
MAGINOTLINE	PLH	2	
MAGISTRAL	-	1	
MAGISTRATE	-	3	
MAGISTRATES	S	3	
MAGIWHEELS	H	0	
MAGLEV	A	2	
MAGLEVTRAIN	AH	1	
MAGLI	P	0	
MAGLIE	PS	1	
MAGLITE	PB	2	
MAGLITES	PBS	1	
MAGMA	-	2	
MAGMAS	S	2	
MAGMATISM	-	1	
MAGN	-	0	
MAGNA	-	1	
MAGNAARTA	PH	1	
MAGNACARTA	PH	2	
MAGNACHARTA	PH	1	
MAGNACRUMBLAUDE	H	0	
MAGNACUMLAUDE	H	2	
MAGNACUMLOUDLY	H	0	
MAGNADOODLE	HM	1	
MAGNANI	PN	1	
MAGNANIMOUS	-	3	
MAGNANIMOUSLY	-	2	
MAGNATE	-	2	
MAGNATES	S	2	
MAGNATILES	HB	1	
MAGNAVOX	PB	1	
MAGNESIA	-	1	
MAGNESIUM	-	2	
MAGNESIUMI	-	0	
MAGNET	-	4	
