HQTRIVIA	-	0	
HQTRS	-	0	
HRA	-	0	
HRACE	-	0	
HRAP	-	0	
HRAS	-	0	
HRATE	-	0	
HRATIOHRNBLOWER	-	0	
HRC	-	0	
HRD	-	0	
HRDASHER	-	0	
HRDEPARTMENT	-	0	
HRDHTS	-	0	
HRDIRECTOR	-	0	
HRDTMS	-	0	
HRE	-	0	
HREPAIRMAN	-	0	
HRFACTOR	-	0	
HRGIGER	-	0	
HRH	-	0	
HRHALDEMAN	-	0	
HRIDE	-	0	
HRIDERHAGGARD	-	0	
HRIDERHGARD	-	0	
HRISSUE	-	0	
HRL	-	0	
HRLER	-	0	
HRMNMLVLL	-	0	
HRMONY	-	0	
HRMZ	-	0	
HRNIA	-	0	
HRNN	-	0	
HRNS	-	0	
HRNSBY	-	0	
HROSS	-	0	
HROSSPEROT	-	0	
HROUGHANDTHROUG	-	0	
HRPUFNSTUF	-	0	
HRPUFNSTUFDISCO	-	0	
HRRBL	-	0	
HRRD	-	0	
HRREP	-	0	
HRREPS	-	0	
HRRORS	-	0	
HRRR	-	0	
HRRYCHPIN	-	0	
HRS	-	0	
HRSESHES	-	0	
HRSH	-	0	
HRSMA	-	0	
HRSNSS	-	0	
HRSSHNL	-	0	
HRSTHPRBLM	-	0	
HRT	-	0	
HRTCLTR	-	0	
HRTE	-	0	
HRTONHEARSAWH	-	0	
HRTSTRNGS	-	0	
HRYMANCINI	-	0	
HSA	-	0	
HSAT	-	0	
HSBC	-	0	
HSCT	-	0	
HSDOWN	-	0	
HSE	-	0	
HSEA	-	0	
HSEED	-	0	
HSET	-	0	
HSEVEN	-	0	
HSH	-	0	
HSHAPEDBOX	-	0	
HSHSLNGR	-	0	
HSHTGS	-	0	
HSHTSHSCRS	-	0	
HSI	-	0	
HSIA	-	0	
HSICK	-	0	
HSIGNS	-	0	
HSILGNEESREVER	-	0	
HSIMI	-	0	
HSING	-	0	
HSINIFECALPTSAL	-	0	
HSITTER	-	0	
HSIW	-	0	
HSL	-	0	
HSM	-	0	
HSMCHN	-	0	
HSN	-	0	
HSNDGRDN	-	0	
HSNGSTT	-	0	
HSNI	-	0	
HSON	-	0	
HSORTAILS	-	0	
HSP	-	0	
HSPOOL	-	0	
HSPTLBD	-	0	
HST	-	0	
HSTCASTLE	-	0	
HSTE	-	0	
HSTFDRJFKANDLBJ	-	0	
HSTHHTSFR	-	0	
HSTN	-	0	
HSTOPPERS	-	0	
HSTRUMANS	-	0	
HSU	-	0	
HSUP	-	0	
HSWEEP	-	0	
HSWEETITIS	-	0	
HSWILLROLL	-	0	
HTAEDSPIRAL	-	0	
HTAHTA	-	0	
HTAILOGDAVID	-	0	
HTAINE	-	0	
HTANDEARLY	-	0	
HTARI	-	0	
HTC	-	0	
HTCHCOLATE	-	0	
HTEA	-	0	
HTEATRAY	-	0	
HTEE	-	0	
HTEN	-	0	
HTERS	-	0	
HTEST	-	0	
HTESTS	-	0	
HTET	-	0	
HTGL	-	0	
HTHR	-	0	
HTHROB	-	0	
HTHROBS	-	0	
HTHRT	-	0	
HTIC	-	0	
HTILE	-	0	
HTIME	-	0	
HTINT	-	0	
HTIP	-	0	
HTIPSTERS	-	0	
HTITLIST	-	0	
HTM	-	0	
HTML	-	0	
HTMLCODE	-	0	
HTMLEDITOR	-	0	
HTMLFORDUMMIES	-	0	
HTMLPAGE	-	0	
HTMLPAGES	-	0	
HTMLTAG	-	0	
HTMLTAGS	-	0	
HTO	-	0	
HTOES	-	0	
HTOH	-	0	
HTOHCOMBAT	-	0	
