FLUENTLY	-	4	
FLUES	S	2	
FLUFF	S	3	
FLUFFANDFOLD	H	1	
FLUFFERNUTTER	HM	2	
FLUFFERNUTTERS	HMS	2	
FLUFFFROSTING	H	1	
FLUFFIER	S	3	
FLUFFS	S	3	
FLUFFY	-	4	
FLUFFYFEATHERS	H	1	
FLUFFYPANCAKE	H	1	
FLUFLUB	H	1	
FLUGEL	-	0	
FLUGELHORN	-	1	
FLUGELHORNET	H	0	
FLUGELHORNRIMS	H	0	
FLUID	-	4	
FLUIDDIE	H	0	
FLUIDITY	-	3	
FLUIDJOUNCE	H	0	
FLUIDLY	-	3	
FLUIDOUNCE	-	2	
FLUIDOUNCES	S	2	
FLUIDS	S	3	
FLUIDSEASON	H	0	
FLUIDSHOTS	H	0	
FLUIDVOLUME	H	0	
FLUISH	-	2	
FLUKE	-	3	
FLUKED	S	2	
FLUKEOFNATURE	H	1	
FLUKES	S	3	
FLUKEWILSON	PM	1	en
FLUKEY	-	3	
FLUKIEST	S	2	
FLUKY	-	3	
FLUKYPAPER	H	1	
FLULIKESYMPTOMS	H	2	
FLUMADIDDLE	-	1	
FLUME	-	2	
FLUMES	S	2	
FLUMESEASON	H	0	
FLUMMERY	-	1	
FLUMMOX	-	3	
FLUMMOXED	S	2	
FLUMMOXES	S	2	
FLUMMOXING	S	2	
FLUMMOXMALCOLMX	H	0	
FLUMP	-	2	
FLUMPED	S	2	
FLUNG	-	3	
FLUNK	-	3	
FLUNKED	S	3	
FLUNKEDSHOP	H	0	
FLUNKIES	S	2	
FLUNKINGOUT	H	3	
FLUNKOUT	H	2	
FLUNKS	S	3	
FLUNKSTEAK	H	0	
FLUNKY	S	2	
FLUOR	-	0	
FLUORESCE	-	2	
FLUORESCENCE	-	2	
FLUORESCENT	-	3	
FLUORESCENTBULB	H	2	
FLUORESCENTLAMP	H	2	
FLUORESCENTLITE	H	1	
FLUORESCENTLUMP	H	1	
FLUORIDATE	-	1	
FLUORIDE	-	2	
FLUORIDEOFXENON	H	0	
FLUORINE	-	1	
FLUORINEARSENIC	H	0	
FLUORITETALC	H	0	
FLUORO	-	1	
FLUOROSCOPY	-	2	
FLUPOTFOULSLING	H	0	
FLURRIED	S	2	
FLURRIES	S	2	
FLURRY	-	3	
FLURRYOF	H	2	
FLUS	S	2	
FLUSEASON	H	0	
FLUSH	-	3	
FLUSHAWAY	H	2	
FLUSHDOOR	H	1	
FLUSHDREW	H	0	
FLUSHED	S	3	
FLUSHFRIGHT	H	0	
FLUSHFUNDS	H	1	
FLUSHINGMEADOWS	H	0	
FLUSHINGMEOWS	H	0	
FLUSHLEFTMARGIN	H	1	
FLUSHLUSH	H	0	
FLUSHOT	H	2	
FLUSHOTS	H	2	
FLUSHSYMPTOM	H	1	
FLUSHTOILET	H	2	
FLUSHWITH	H	2	
FLUSHWITHCASH	H	2	
FLUSHWITHMONEY	H	2	
FLUSTER	-	3	
FLUSTERED	S	2	
FLUSTERS	S	2	
FLUSTRAIN	H	0	
FLUTE	-	3	
FLUTED	S	2	
FLUTEDEDGE	H	1	
FLUTEDUET	H	0	
FLUTEFLIES	H	0	
FLUTEFRIES	H	0	
FLUTEOFPARADISE	H	0	
FLUTEPLAYER	H	1	
FLUTER	-	1	
FLUTES	S	3	
FLUTESOLO	H	1	
FLUTESOLOS	H	1	
FLUTETHING	H	0	
FLUTIE	P	1	en
FLUTING	-	1	
FLUTIST	-	2	
FLUTISTS	S	2	
FLUTTER	-	3	
FLUTTERKICK	H	1	
FLUTTERS	S	3	
FLUTY	-	1	
FLUVACCINE	H	0	
FLUVIRUS	H	0	
FLUX	-	2	
FLUXCAPACITOR	H	1	
FLUXED	S	1	
FLUXES	S	2	
FLUXGATE	-	1	
FLUXIONS	S	1	
FLUXOFGEESE	H	0	
FLUXSEASON	H	0	
FLUXX	-	1	
FLXING	H	0	
FLY	-	4	
FLYA	H	0	
FLYAKITE	H	0	
FLYAT	H	0	
FLYAWAY	H	2	
FLYAWAYHOME	H	0	
FLYBAITACARPA	H	0	
FLYBALL	-	2	
FLYBALLS	S	2	
FLYBLIND	H	1	
FLYBOY	-	2	
