ASSOCTEDPRESS	PA	2	
ASSOFCLUBS	H	1	
ASSOFDIAMONDS	H	1	
ASSOMEONEWHOHAS	H	0	
ASSONANCE	W	1	
ASSONANT	W	1	
ASSOON	T	3	
ASSOONAS	T	3	
ASSORT	W	2	
ASSORTDARISPA	H	0	
ASSORTED	WS	3	
ASSORTER	C	0	
ASSORTERS	CS	0	
ASSORTING	WS	2	
ASSORTMENT	W	3	
ASSORTMENTS	WS	3	
ASSORTS	WS	3	
ASSP	A	0	
ASSR	A	0	
ASST	A	3	
ASSTARSOF	H	0	
ASSTATED	T	1	
ASSTD	A	1	
ASSTDA	A	0	
ASSTIFFASABOARD	H	2	
ASSTPROF	A	2	
ASSTPROFS	AS	2	
ASSTRONGASANOX	H	2	
ASSTRONGASAPIG	H	2	
ASSTRONGASSTEEL	H	2	
ASSTS	AS	2	
ASSTUPIDASCANBE	H	1	
ASSUAGE	-	3	
ASSUAGED	S	3	
ASSUAGES	S	3	
ASSUASIVE	W	0	
ASSUCH	T	3	
ASSUME	-	3	
ASSUMEADISGUISE	H	0	
ASSUMEAROLE	H	1	
ASSUMED	S	3	
ASSUMEDAMEN	H	0	
ASSUMEDIDENTITY	H	2	
ASSUMEDNAME	H	2	
ASSUMENOTHING	H	1	
ASSUMER	C	1	
ASSUMES	S	3	
ASSUMETHEMANTLE	H	0	
ASSUMING	S	3	
ASSUMPTION	W	3	
ASSUMPTIONS	WS	3	
ASSURANCE	W	3	
ASSURANCES	WS	3	
ASSURE	-	3	
ASSUREASYOULIVE	H	0	
ASSURED	S	3	
ASSUREDLY	S	3	
ASSUREDOF	H	2	
ASSUREDS	S	2	
ASSURER	C	2	
ASSURERS	CS	2	
ASSURES	S	3	
ASSURESOF	H	2	
ASSURING	S	3	
ASSUROR	W	1	
ASSURY	W	0	
ASSWEET	T	2	
ASSWEETASPIE	H	3	
ASSY	G	0	
ASSYR	A	0	
ASSYRIA	PL	1	
ASSYRIAN	PL	1	
ASSYRIANS	PLS	1	
ASSYRO	A	0	
AST	A	0	
ASTA	PN	2	
ASTAB	T	1	
ASTACK	T	2	
ASTAGE	T	3	
ASTAGETHENIWANT	H	0	
ASTAGEWHEREDOES	H	0	
ASTAINTHEMANGER	H	0	
ASTAIRE	PN	3	
ASTAIREMUSICAL	H	1	
ASTAIREORROGERS	H	1	
ASTAIRES	PNS	2	
ASTAKE	T	2	
ASTALASSIEBENJI	H	0	
ASTALL	T	1	
ASTANA	PL	0	
ASTAND	T	2	
ASTAPHYSICS	H	0	
ASTAR	T	2	
ASTARCHISBORN	H	0	
ASTARE	T	2	
ASTARISBORG	H	0	
ASTARISBORN	H	0	
ASTARISBORNE	H	0	
ASTARLINGISBORN	H	0	
ASTARRISBORN	H	0	
ASTARRPERFORMER	H	0	
ASTARS	T	1	
ASTART	T	2	
ASTARTE	PN	1	
ASTAS	T	2	
ASTATE	T	2	
ASTATETHAT	H	1	
ASTATIC	W	0	
ASTATINE	W	2	
ASTATUSQUO	H	0	
ASTE	A	0	
ASTEAKA	H	0	
ASTEAL	T	1	
ASTEELTRAP	H	2	
ASTEENSAMUEL	H	0	
ASTEEPPRICE	H	1	
ASTEN	T	1	
ASTENDERS	H	0	
ASTENSE	T	1	
ASTEP	T	3	
ASTEPABOVE	H	1	
ASTEPINTHERIGHT	H	0	
ASTEPUP	H	1	
ASTER	W	2	
ASTERBUNNY	PN	1	
ASTERCONTROL	H	0	
ASTERHATE	H	0	
ASTERIA	PN	1	
ASTERICK	W	1	
ASTERISK	-	3	
ASTERISKED	S	2	
ASTERISKS	S	3	
ASTERISM	W	1	
ASTERIX	PN	2	
ASTERN	W	2	
ASTERNWARNING	H	0	
ASTERNWORDS	H	0	
ASTERO	A	0	
ASTEROID	-	3	
ASTEROIDAL	S	2	
ASTEROIDBELT	H	2	
ASTEROIDBELTS	HS	1	
ASTEROIDCITY	H	0	
ASTEROIDS	S	3	
ASTEROIDTEST	H	0	
ASTEROLOGERS	H	0	
ASTEROUT	H	1	
ASTERPARADE	H	0	
ASTERS	WS	2	
ASTERWILLIAMS	PN	0	
