TALKEDABOUT	H	2	
TALKEDAGOODGAME	H	2	
TALKEDAPSTREAK	H	2	
TALKEDAT	T	2	
TALKEDBIG	H	2	
TALKEDINRIDDLES	H	2	
TALKEDINTO	H	2	
TALKEDOF	H	2	
TALKEDOUTOFTURN	H	2	
TALKEDOVER	H	2	
TALKEDSENSE	H	2	
TALKEDSHOP	H	2	
TALKEDSMACK	H	2	
TALKEDTHETALK	H	2	
TALKEDTO	H	2	
TALKEDTRASH	H	2	
TALKER	-	3	
TALKERS	S	3	
TALKFEST	-	2	
TALKFTHETOWN	H	1	
TALKGIBBERISH	H	2	
TALKHISEAROFF	H	2	
TALKHOP	-	2	
TALKIE	-	2	
TALKIES	S	2	
TALKIN	T	2	
TALKINCIRCLES	H	2	
TALKING	-	4	
TALKINGAHEAD	H	2	
TALKINGASHTRAY	H	2	
TALKINGBIG	H	2	
TALKINGBIGAPPLE	H	1	
TALKINGBIGTEN	H	1	
TALKINGDOLL	H	2	
TALKINGFISH	H	1	
TALKINGHEAD	H	3	
TALKINGHEADS	HS	3	
TALKINGHEDDA	H	1	
TALKINGHTO	H	1	
TALKINGOUT	H	2	
TALKINGPARROT	H	2	
TALKINGPICTURES	H	2	
TALKINGPIG	H	2	
TALKINGPIGMOVIE	H	1	
TALKINGPOINTS	H	3	
TALKINGROLE	H	2	
TALKINGSHOP	H	2	
TALKINGSLIDES	H	1	
TALKINGSMACK	H	2	
TALKINGSTAGE	H	1	
TALKINGTAILS	H	1	
TALKINGTO	H	2	
TALKINGTOMYSELF	H	2	
TALKINGTOPIC	H	2	
TALKINGTRASH	H	2	
TALKINGTREAD	H	1	
TALKINGTURKEY	H	2	
TALKINGTYRO	H	1	
TALKINGWALL	H	1	
TALKINGXXX	H	1	
TALKINONESSLEEP	H	2	
TALKINONESSLOOP	H	1	
TALKINTO	H	2	
TALKINYOURSLEEP	H	2	
TALKISCHEAP	H	3	
TALKISCHEEP	H	1	
TALKISLATE	H	2	
TALKITOUT	H	2	
TALKITOVER	H	2	
TALKITWOULDTAKE	H	1	
TALKLATER	H	2	
TALKLIKEA	H	2	
TALKLIKEAPIRATE	H	2	
TALKLINE	H	2	
TALKN	T	1	
TALKNERDYTOME	H	2	
TALKNONSENSE	H	2	
TALKOBELLE	H	1	
TALKOF	H	2	
TALKOFETALC	H	1	
TALKOFTHETOWN	H	2	
TALKON	H	2	
TALKONESEAROFF	H	2	
TALKONESHEADOFF	H	2	
TALKOUT	H	2	
TALKOUTOF	H	2	
TALKOUTOFTURN	H	2	
TALKOVER	H	2	
TALKRADIO	H	3	
TALKS	S	4	
TALKSABOUT	H	2	
TALKSAT	H	2	
TALKSBIG	H	2	
TALKSDIRTY	H	2	
TALKSENSE	H	2	
TALKSFRESH	H	2	
TALKSHIT	HG	2	
TALKSHOP	H	2	
TALKSHOW	H	4	
TALKSHOWCHARLIE	H	1	
TALKSHOWGHOST	H	1	
TALKSHOWHOST	H	3	
TALKSHOWHOSTAGE	H	1	
TALKSHOWHOSTESS	H	2	
TALKSHOWOFF	H	2	
TALKSHOWS	HS	3	
TALKSHOWSONMUTE	H	1	
TALKSIN	H	2	
TALKSINAWHISPER	H	2	
TALKSINOTHER	H	1	
TALKSITOUT	H	2	
TALKSMACK	H	2	
TALKSNONSENSE	H	2	
TALKSOF	H	2	
TALKSON	H	2	
TALKSONAIR	H	2	
TALKSOON	H	2	
TALKSOUP	H	1	
TALKSOUTOFTURN	H	2	
TALKSSENSE	H	2	
TALKSSHOP	H	2	
TALKSSMACK	H	2	
TALKSTALKS	H	1	
TALKSTALKSTALKS	H	1	
TALKSTO	H	2	
TALKSTOOMUCH	H	2	
TALKSTRASH	H	2	
TALKSTURKEY	H	2	
TALKSUP	H	2	
TALKTALK	H	2	
TALKTEXTANDDATA	H	1	
TALKTHERAPY	H	3	
TALKTHETALK	H	2	
TALKTHROUGHONES	H	1	
TALKTO	H	2	
TALKTOHER	H	2	
TALKTOME	H	2	
TALKTOMEGOOSE	H	1	
TALKTOOMUCH	H	2	
TALKTOSTRANGERS	H	2	
TALKTOTHEHAND	H	3	
TALKTOTHEPLANTS	H	2	
TALKTOYOULATER	H	2	
TALKTRASH	H	2	
TALKTURKEY	H	2	
TALKUP	H	2	
TALKUPASTORM	H	2	
TALKUULATER	H	1	
TALKWILDCOLD	H	1	
TALKY	-	2	
