SBA	A	1	
SBACK	T	1	
SBAGLIATO	F	0	it
SBALL	T	1	
SBALLS	TS	1	
SBALOAN	H	0	
SBALOANS	HS	0	
SBAMPRAS	PN	2	
SBANK	T	1	
SBAR	T	1	
SBARBARA	PN	3	
SBARGROFPU	H	0	
SBARRO	PB	1	
SBAS	A	1	
SBAY	T	1	
SBC	A	0	
SBCLXXV	R	0	
SBDNG	A	0	
SBE	A	0	
SBENCH	T	1	
SBEND	T	1	
SBENDS	TS	1	
SBER	T	1	
SBGRPS	A	0	
SBID	T	1	
SBIRD	T	1	
SBIRDS	TS	1	
SBLI	A	0	
SBNATION	H	0	
SBOARD	T	1	
SBOARDS	TS	1	
SBOK	T	1	
SBOMB	T	1	
SBORNE	T	1	
SBOUND	T	1	
SBPND	A	0	
SBS	A	0	
SBSDR	A	0	
SBTRKT	A	0	
SBUX	PB	2	
SBW	A	0	
SBY	T	1	
SBZR	A	0	
SCAASI	PN	1	
SCAB	G	3	
SCABBARD	W	2	
SCABBARDS	WS	2	
SCABBED	S	2	
SCABBING	S	2	
SCABBY	D	2	
SCABBYHANNIBAL	H	0	
SCABDRIVER	H	0	
SCABINTHEDARK	H	0	
SCABIOUS	W	1	
SCABLIKE	C	1	
SCABROUS	D	2	
SCABS	S	2	
SCACCHI	PN	0	
SCAD	W	2	
SCADED	W	1	
SCADET	W	1	
SCADS	WS	3	
SCADSOFADS	H	0	
SCAFF	W	0	
SCAFFOLD	W	2	
SCAFFOLDING	W	2	
SCAFFOLDS	WS	2	
SCAG	G	1	
SCAGGS	PN	1	
SCALA	PL	1	
SCALABLE	C	2	
SCALAGE	W	0	
SCALAR	W	2	
SCALARS	WS	1	
SCALAWAG	D	2	
SCALAWAGS	DS	2	
SCALD	K	2	
SCALDED	KS	2	
SCALDEDCAT	H	0	
SCALDING	KS	2	
SCALDS	KS	2	
SCALE	W	4	
SCALEARMOR	H	1	
SCALEBACK	H	0	
SCALEBAR	H	1	
SCALED	WS	3	
SCALEDBACK	H	0	
SCALEDMTEVEREST	H	0	
SCALEDOWN	T	1	
SCALEDRAWING	H	1	
SCALEMODEL	H	2	
SCALEMODELTRAIN	H	1	
SCALENE	W	2	
SCALENETRIANGLE	H	1	
SCALER	C	1	
SCALERS	CS	1	
SCALES	WS	4	
SCALESDOWN	H	0	
SCALESUP	H	0	
SCALETHETIP	H	0	
SCALETHETIPS	H	0	
SCALEUP	H	0	
SCALIA	PN	2	
SCALIER	S	1	
SCALIEST	S	1	
SCALING	S	2	
SCALINGDOWN	H	0	
SCALINGUPANDDWN	H	0	
SCALL	W	1	
SCALLION	W	3	
SCALLIONPANCAKE	H	1	
SCALLIONS	WS	2	
SCALLOP	W	3	
SCALLOPED	WS	3	
SCALLOPEDMASHED	H	0	
SCALLOPEDOUT	H	0	
SCALLOPER	WS	1	
SCALLOPINI	W	3	
SCALLOPPINE	W	2	
SCALLOPPOLL	H	0	
SCALLOPS	WS	3	
SCALLOPSHELL	H	1	
SCALP	W	3	
SCALPED	WS	2	
SCALPEL	W	3	
SCALPELS	WS	3	
SCALPER	W	2	
SCALPERS	WS	2	
SCALPINGTICKETS	H	0	
SCALPMASSAGES	H	0	
SCALPS	WS	3	
SCALY	W	3	
SCALYMOVIE	H	0	
SCAM	G	3	
SCAMALERT	H	0	
SCAMALERTS	H	0	
SCAMARTIST	H	0	
SCAMARTISTS	H	0	
SCAMBAIT	H	0	
SCAMBAITER	H	0	
SCAMCALLER	H	0	
SCAMCORDER	H	0	
SCAMLIKELY	H	0	
SCAMMED	GS	2	
SCAMMER	G	2	
SCAMMERS	GS	2	
SCAMMING	GS	2	
SCAMMY	G	1	
SCAMON	H	0	
SCAMP	G	3	
